10;f;1965;NO;Atheism;Capital;vegetarian;FN;6;quality time;lent;patrie;Pharmacien;family;jeux video;brun;Children's;Boris Vian;museum;Hachis Parmentier;3;4;20;8;6;9;16;12;15;16;11;7;f;Atheism;Capital;vegetarian;FN;6;15;bald
11;m;1994;YES;Catholicism;Capital;vegan;LR;2;acts of service;ultra dynamique;DIY;developeur;lover;survie;brown;Dictionaries;Françoise Sagan;traveling;Steak-frites;1;15;7;17;16;15;8;18;14;15;3;13;f;Catholicism;Capital;vegan;LR;2;10;lent
12;f;1967;YES;Islam;town near big cities;vegan;RUMP;7;quality time;normal;politique;Charpentier;family;economie;Auburn;Prayer books;Stefan Zweig;pilgrimmage;Foie Gras;9;12;20;19;3;18;13;6;14;0;2;13;m;Islam;town near big cities;vegan;RUMP;7;11;loisir
13;m;1959;NO;Judaism;countryside near big cities;no gluten;PG;2;gift giving;normal;DIY;Medecin;family;voitures;brown;History;Antoine de Saint-Exupery;biking;Gratin Dauphinois;16;5;13;13;14;6;9;2;6;2;8;8;m;Judaism;countryside near big cities;no gluten;PG;2;16;Diaries
14;m;2007;YES;Islam;town near big cities;insects;MoDem;0;quality time;dynamique;confort;Veterinaire;romance;enseignement;red;Romance;John Steinbeck;canyoning;Magret de canard;18;11;8;9;7;1;14;8;1;5;6;12;f;Islam;town near big cities;insects;MoDem;0;19;Escargots
15;m;1978;YES;Islam;Capital;no alcool;LR;8;acts of service;dynamique;famille;Designer;lover;survie;brun;Art;Victor Hugo;biking;Nouilles;18;5;17;15;18;18;2;12;3;13;10;13;m;Islam;Capital;no alcool;LR;8;13;need
16;f;1979;NO;Atheism;Big City;vegan;PS;4;words of affirmation;dynamique;ecologie;Anesthesiste;family;survie;brun;Series;Robert Louis Stevenson;diving;Poulet Basquaise;16;17;18;17;6;15;0;12;2;0;18;1;m;Atheism;Big City;vegan;PS;4;18;rafting
17;m;1971;YES;Orthodox;countryside near big cities;vegan;MoDem;8;gift giving;lent;famille;Policier;family;Politique;bald;Mystery;Jean Racine;beatch and sea;Souffle au fromage;17;18;8;11;13;14;0;4;10;14;6;10;f;Orthodox;countryside near big cities;vegan;MoDem;8;11;ecologie
18;f;1995;NO;Islam;Big City;no alcool;PG;2;words of affirmation;lent;politique;Physiotherapeute;lover;mecanique;bald;Anthology;Pierre de Marivaux;climbing;Mousse au chocolat;16;4;3;2;10;10;1;9;7;17;14;10;f;Islam;Big City;no alcool;PG;2;9;words of affirmation
19;f;2001;YES;Orthodox;Capital;everythings;LR;5;gift giving;normal;amour;Ingenieur civil;family;survie;brown;Romance;Albert Cohen;beatch and sea;Mousse au chocolat;16;8;5;19;12;10;5;13;13;13;16;14;m;Orthodox;Capital;everythings;LR;5;12;Photographe
20;f;1970;NO;Deism;Capital;everythings;MoDem;1;gift giving;lent;politique;Psychologue;family;voitures;yellow;Anthology;Jules Verne;biking;Île flottante;4;10;17;17;17;9;8;14;2;19;17;2;m;Deism;Capital;everythings;MoDem;1;10;lent
21;m;1999;YES;Atheism;Deep countryside;vegetarian;PG;1;gift giving;dynamique;argent ;auto entrepreneur;romance;langues;blond;Romance;JR Tolkien;ramble in villages;Makis;13;14;9;2;7;9;6;15;13;20;10;6;m;Atheism;Deep countryside;vegetarian;PG;1;12;Physiotherapeute
22;f;1998;NO;Anglicanism;Capital;insects;SIEL;7;words of affirmation;ultra dynamique;patrie;Comptable;family;series tv;bald;Religion;Jean Giono;climbing;Crêpes;1;2;12;4;1;10;15;1;13;10;15;4;f;Anglicanism;Capital;insects;SIEL;7;15;bald
23;m;2000;NO;Buddhism;Big City;no gluten;MoDem;8;words of affirmation;normal;famille;hotelier;family;histoire;red;Mystery;Jean Giono;hiking;Yakitoris;6;18;20;11;18;13;6;8;6;0;7;1;m;Buddhism;Big City;no gluten;MoDem;8;12;Enseignant
24;m;1973;NO;Catholicism;countryside near big cities;everythings;EELV;1;physical touch;dynamique;ecologie;ecrivain;lover;education;Auburn;Action and Adventure;John Steinbeck;museum;Sashimis;5;10;17;17;1;5;17;9;19;3;6;15;f;Catholicism;countryside near big cities;everythings;EELV;1;10;dynamique
25;m;1999;YES;Islam;Big City;vegetarian;LR;6;physical touch;ultra dynamique;travail;Travailleur social;need;gastronomie;red;Guide;William Shakespeare;driving;Californias;9;17;7;0;11;13;3;17;7;11;0;4;m;Islam;Big City;vegetarian;LR;6;12;Physiotherapeute
26;f;1976;NO;Atheism;Big City;vegan;LR;2;acts of service;ultra dynamique;confort;Policier;need;enseignement;Auburn;Poetry;Antoine de Saint-Exupery;nothing;Fondant au chocolat;2;12;6;19;2;4;13;0;8;20;0;3;m;Atheism;Big City;vegan;LR;2;11;patrie
27;f;1990;NO;Protestantism;town near big cities;everythings;EELV;2;physical touch;normal;ecologie;caritatif;need;philosophie;brown;Art;Honore de Balzac;canyoning;Fondue Savoyarde;17;2;11;16;19;7;20;16;18;2;11;2;m;Protestantism;town near big cities;everythings;EELV;2;13;family
28;f;1980;YES;Judaism;Big City;normal;PG;6;physical touch;lent;confort;jeux videos;lover;sciences;green;Drama;Rene Barjavel;rafting;Souffle au fromage;12;9;5;5;8;13;20;16;0;12;8;9;m;Neopaganism;Big City;normal;PG;6;11;loisir
29;f;1970;YES;Hinduism;Deep countryside;normal;EELV;1;words of affirmation;dynamique;patrie;Cuisinier;family;jeux video;bald;Self help;JR Tolkien;skiing;Tarte aux pommes;9;6;7;0;12;18;12;14;9;3;9;10;f;Hinduism;Deep countryside;normal;EELV;1;14;sculpture
30;m;1974;NO;Catholicism;Big City;no alcool;EELV;6;acts of service;lent;ecologie;Professeur;family;survie;blond;Trilogy;Jean Racine;beatch and sea;Yakitoris;16;19;1;10;20;6;14;7;7;20;14;4;m;Catholicism;Big City;no alcool;EELV;6;11;ecologie
31;m;1955;YES;Islam;town near big cities;no milky food;RUMP;3;physical touch;dynamique;patrie;Infographiste;romance;droit;green;Prayer books;Voltaire;ramble in villages;bœuf bourguignon;9;14;6;2;16;11;20;7;17;7;7;2;f;Islam;town near big cities;no milky food;RUMP;3;10;normal
32;m;1970;NO;Deism;town near big cities;normal;UDI;7;acts of service;ultra dynamique;loisir;juriste;romance;droit;yellow;Anthology;Jean Anouilh;countryside break;Mousse au chocolat;17;18;14;16;20;15;7;2;6;17;19;4;f;Deism;town near big cities;normal;UDI;7;18;countryside break
33;m;2007;YES;Judaism;Capital;normal;PG;4;words of affirmation;dynamique;argent ;menuisier;romance;mecanique;brown;Journals;Guy de Maupassant;camping;Moules-frites;4;1;13;10;17;2;5;10;16;15;8;11;m;Judaism;Capital;normal;PG;4;19;Californias
34;f;1970;YES;Hinduism;Capital;normal;PRG;6;words of affirmation;ultra dynamique;ecologie;Camionneur;lover;philosophie;yellow;Anthology;Moliere;diving;Carbonnade Flamande;13;0;4;0;2;14;7;16;12;6;19;3;m;Hinduism;Capital;normal;PRG;6;10;ultra dynamique
35;f;2002;NO;Atheism;Big City;vegan;PS;1;acts of service;lent;activité;platreur;family;histoire;brun;Satire;Georges Simenon;canyoning;Nouilles;8;15;17;8;20;3;18;6;12;11;8;0;f;Atheism;Big City;vegan;PS;1;15;red
36;f;1956;NO;Protestantism;Capital;no gluten;EELV;2;acts of service;dynamique;argent ;Pompier;need;droit;brun;Horror;John Steinbeck;climbing;Couscous;20;14;16;8;16;4;20;4;12;10;5;19;m;Protestantism;Capital;no gluten;EELV;2;10;dynamique
37;f;2007;YES;Judaism;town near big cities;no alcool;PG;1;words of affirmation;lent;DIY;Cuisinier;family;mecanique;green;Mystery;Pierre de Marivaux;nothing;Escargots;15;3;7;12;2;7;16;0;9;14;14;1;f;Judaism;town near big cities;no alcool;PG;1;15;red
38;f;1971;YES;Catholicism;Deep countryside;vegetarian;PRG;5;quality time;dynamique;amour;caritatif;family;nouvelles technologies;blond;Encyclopedias;George Orwell;camping;Couscous;8;1;6;5;16;10;4;7;13;15;7;5;m;Catholicism;Deep countryside;vegetarian;PRG;5;14;art contemporain
39;f;1964;NO;Protestantism;countryside near big cities;no alcool;PRG;1;physical touch;normal;confort;Enqueteur;romance;jeux video;bald;Religion;Isaac Asimov;skiing;bœuf bourguignon;6;15;7;0;9;15;12;8;2;0;19;1;m;Protestantism;countryside near big cities;no alcool;PRG;1;9;quality time
40;m;1993;NO;Hinduism;countryside near big cities;insects;RUMP;4;acts of service;dynamique;politique;Designer;family;sculpture;Auburn;History;Jack London;beatch and sea;Mousse au chocolat;5;14;19;12;18;19;3;15;12;0;18;5;f;Hinduism;countryside near big cities;insects;RUMP;4;10;ultra dynamique
41;m;1996;YES;Islam;Capital;insects;RUMP;8;gift giving;ultra dynamique;plaisir;hotelier;romance;sciences;red;Art;George Orwell;pilgrimmage;Ratatouille;0;19;2;10;11;12;1;19;14;11;3;14;m;Islam;Capital;insects;RUMP;8;16;Poetry
42;f;1978;NO;Orthodox;Big City;no gluten;LR;3;gift giving;dynamique;activité;Camionneur;need;mecanique;blond;Series;Eugene Ionesco;driving;grenouille;10;17;16;11;8;11;6;14;18;13;15;9;f;Judaism;Big City;no gluten;LR;3;10;ultra dynamique
43;f;1978;NO;Orthodox;town near big cities;no gluten;MoDem;6;physical touch;ultra dynamique;argent ;Ambulancier;lover;nouvelles technologies;green;Anthology;Agatha Christie;pilgrimmage;Tarte aux pommes;18;10;9;9;6;9;16;7;8;18;17;0;f;Orthodox;town near big cities;no gluten;MoDem;6;16;Biographies
44;m;2003;YES;Judaism;Capital;normal;FN;1;gift giving;normal;ecologie;tourneur;romance;education;yellow;Action and Adventure;Franz Kafka;biking;Steak-frites;4;15;16;7;6;7;19;19;1;13;1;9;m;Judaism;Capital;normal;FN;1;17;Gustave Flaubert
45;m;1959;YES;Protestantism;Big City;vegetarian;SIEL;1;physical touch;dynamique;politique;Pharmacien;need;series tv;Auburn;Self help;Jack London;ramble in villages;Makis;20;13;19;16;18;9;20;5;6;16;19;9;f;Protestantism;Big City;vegetarian;SIEL;1;19;Galettes
46;m;1978;NO;Deism;countryside near big cities;vegetarian;PG;4;gift giving;normal;travail;Infirmiere;romance;mecanique;brown;Guide;Jules Verne;hiking;Nouilles;5;14;11;4;3;19;0;18;3;18;19;8;m;Deism;countryside near big cities;vegetarian;PG;4;14;religion
47;f;1982;YES;Catholicism;town near big cities;no milky food;UDI;7;acts of service;lent;patrie;politicien;family;langues;yellow;Math;Gustave Flaubert;biking;Magret de canard;11;14;19;13;9;19;19;8;11;0;1;19;f;Catholicism;town near big cities;no milky food;UDI;7;11;loisir
48;m;1960;YES;Protestantism;Deep countryside;vegan;UDI;4;acts of service;normal;famille;jeux videos;lover;series tv;blond;Math;Romain Gary;climbing;Couscous;3;16;16;0;11;10;1;19;12;5;10;8;f;Protestantism;Deep countryside;vegan;UDI;4;15;Auburn
49;m;1950;YES;Orthodox;countryside near big cities;no milky food;EELV;5;quality time;normal;DIY;Travailleur social;lover;anthropologie;bald;Comics;William Shakespeare;rafting;Souffle au fromage;19;19;16;20;12;20;11;3;20;6;14;16;m;Orthodox;countryside near big cities;no milky food;EELV;5;10;ultra dynamique
50;f;1964;YES;Deism;Deep countryside;no gluten;PG;8;words of affirmation;lent;patrie;Journaliste;family;droit;red;Biographies;Eugene Ionesco;museum;Mousse au chocolat;18;10;5;16;8;7;14;15;10;16;5;18;m;Deism;Deep countryside;no gluten;PG;8;19;grenouille
51;f;1960;NO;Catholicism;countryside near big cities;everythings;PRG;2;words of affirmation;normal;DIY;Dentiste;family;jeux video;red;Children's;Moliere;nothing;Bouillabaisse;12;14;9;16;4;12;18;1;9;4;13;4;f;Catholicism;countryside near big cities;everythings;PRG;2;9;physical touch
52;f;1951;YES;Anglicanism;Big City;no milky food;PG;1;words of affirmation;normal;DIY;Medecin;family;photo;red;Biographies;Françoise Sagan;surfing;Souffle au fromage;17;10;9;18;20;16;5;15;16;2;13;15;m;Anglicanism;Big City;no milky food;PG;1;17;Jack London
53;f;1983;YES;Orthodox;Big City;vegan;FN;6;words of affirmation;normal;travail;educatrice specialisee;lover;series tv;brown;Guide;Albert Camus;pilgrimmage;Ratatouille;0;8;1;5;15;18;20;8;0;11;7;9;m;Orthodox;Big City;vegan;FN;6;11;travail
54;f;1999;NO;Anglicanism;Capital;no alcool;EELV;6;quality time;ultra dynamique;argent ;militaire;lover;langues;brun;Autobiographies;Honore de Balzac;skiing;Fondant au chocolat;17;0;2;11;12;4;0;16;3;10;5;9;f;Anglicanism;Capital;no alcool;EELV;6;12;Professeur
55;m;1976;NO;Protestantism;town near big cities;insects;PRG;6;gift giving;ultra dynamique;patrie;Ambulancier;romance;finance;brown;Encyclopedias;Marcel Proust;diving;Poulet Basquaise;11;5;9;13;19;8;14;12;9;1;7;9;m;Protestantism;town near big cities;insects;PRG;6;18;museum
56;m;1955;YES;Buddhism;Capital;no gluten;EELV;0;words of affirmation;lent;politique;Radiologue;romance;video;brown;Series;Jean Giono;ramble in villages;Souffle au fromage;15;7;5;14;19;10;12;17;18;16;0;2;f;Buddhism;Capital;no gluten;EELV;0;16;Religion
57;f;1981;NO;Islam;Deep countryside;vegetarian;PRG;0;quality time;dynamique;plaisir;auto entrepreneur;lover;series tv;red;Fantasy;Primo Levi;countryside break;Ratatouille;5;13;1;0;8;8;15;10;20;18;1;14;m;Islam;Deep countryside;vegetarian;PRG;0;19;Raclette
58;f;1987;NO;Catholicism;Big City;normal;PS;8;acts of service;lent;amour;Professeur;need;economie;blond;Drama;Rene Barjavel;nothing;Magret de canard;8;2;7;0;17;11;7;10;3;6;17;15;m;Catholicism;Big City;normal;PS;8;12;Plombier
59;m;1995;YES;Protestantism;town near big cities;normal;PRG;2;quality time;normal;travail;Pediatre;need;voitures;green;Health;George Orwell;traveling;Escargots;0;20;0;3;1;9;15;8;15;9;5;19;f;Protestantism;town near big cities;normal;PRG;2;18;ramble in villages
60;m;1995;NO;Islam;Capital;normal;MoDem;4;quality time;dynamique;famille;Professeur;lover;randonnée;blond;Anthology;Pierre de Marivaux;climbing;Yakitoris;20;17;15;6;4;3;10;7;5;8;16;5;f;Islam;Capital;normal;MoDem;4;19;Poulets en sauces
61;f;1990;YES;Deism;Deep countryside;no alcool;SIEL;8;acts of service;normal;plaisir;Cuisinier;family;sculpture;blond;Satire;Franz Kafka;hiking;Steak-frites;14;13;8;3;17;3;13;17;17;15;14;1;m;Deism;Deep countryside;no alcool;SIEL;8;19;Souffle au fromage
62;m;1959;NO;Islam;countryside near big cities;no gluten;SIEL;2;quality time;dynamique;confort;hotelier;romance;mecanique;bald;History;Isaac Asimov;countryside break;La quiche Lorraine;6;0;2;6;7;16;19;14;7;11;6;8;m;Islam;countryside near big cities;no gluten;SIEL;2;11;politique
63;f;1972;NO;Deism;Capital;vegan;PG;7;acts of service;normal;confort;Chirurgien;family;voitures;brun;Travel;Prosper Merimee;rafting;La quiche Lorraine;10;18;9;6;20;2;12;8;5;11;19;11;f;Deism;Capital;vegan;PG;7;17;Franz Kafka
64;f;1997;YES;Islam;Big City;insects;PRG;5;acts of service;normal;politique;Anesthesiste;family;randonnée;bald;Prayer books;Victor Hugo;camping;Galettes;17;9;7;1;4;10;7;7;12;9;20;0;m;Islam;Big City;insects;PRG;5;10;ultra dynamique
65;m;1991;YES;Orthodox;Capital;vegetarian;LR;0;gift giving;normal;loisir;Musicien;need;randonnée;blond;Autobiographies;Françoise Sagan;ramble in villages;Steak-frites;8;11;3;20;17;19;20;1;4;4;10;19;m;Orthodox;Capital;vegetarian;LR;0;10;ultra dynamique
66;f;1955;YES;Atheism;town near big cities;normal;MoDem;3;gift giving;dynamique;politique;Pharmacien;family;Politique;blond;Series;Albert Cohen;surfing;Foie Gras;0;9;15;13;19;13;14;6;7;18;2;12;f;Atheism;town near big cities;normal;MoDem;3;14;series tv
67;m;1976;YES;Islam;Capital;normal;EELV;8;physical touch;lent;plaisir;Designer;family;economie;green;Travel;Rene Barjavel;traveling;Escargots;0;14;9;10;16;12;17;19;4;6;13;6;f;Islam;Capital;normal;EELV;8;16;Science fiction
68;m;1992;YES;Hinduism;countryside near big cities;insects;FN;0;physical touch;normal;patrie;developeur;lover;philosophie;bald;Mystery;Françoise Sagan;countryside break;Steak tartare;6;9;16;17;16;2;5;7;16;13;7;2;f;Hinduism;countryside near big cities;insects;FN;0;15;bald
69;f;1952;NO;Orthodox;countryside near big cities;no milky food;PS;7;gift giving;dynamique;politique;Pilote;lover;Politique;yellow;Prayer books;Jean-Paul Sartre;beatch and sea;Moules-frites;4;6;15;14;17;15;20;0;16;1;6;5;f;Orthodox;countryside near big cities;no milky food;PS;7;11;amour
70;f;1990;YES;Atheism;countryside near big cities;no alcool;EELV;8;physical touch;ultra dynamique;activité;platreur;romance;ecologie;brown;Travel;Agatha Christie;hiking;Steak-frites;5;17;4;15;9;20;19;8;3;11;8;2;m;Catholicism;countryside near big cities;no alcool;EELV;8;11;ecologie
71;m;2006;YES;Deism;countryside near big cities;no alcool;PRG;3;gift giving;dynamique;argent ;auto entrepreneur;family;art contemporain;yellow;Mystery;Jean Anouilh;museum;Tiramisu;8;14;0;1;14;3;13;15;5;20;6;5;m;Deism;countryside near big cities;no alcool;PRG;3;16;Horror
72;m;1951;NO;Atheism;countryside near big cities;no milky food;EELV;6;quality time;lent;activité;Plombier;lover;mecanique;Auburn;Mystery;Alexandre Dumas;driving;Raclette;3;3;7;15;17;4;12;2;2;10;14;6;m;Atheism;countryside near big cities;no milky food;EELV;6;10;dynamique
73;f;1963;NO;Hinduism;countryside near big cities;no milky food;PG;1;physical touch;normal;famille;Travailleur social;need;anthropologie;yellow;Satire;Eugene Ionesco;camping;Blanquette;4;19;17;12;8;10;11;8;7;5;19;10;m;Hinduism;countryside near big cities;no milky food;PG;1;18;skiing
74;m;1969;NO;Atheism;Deep countryside;vegetarian;LR;2;quality time;ultra dynamique;argent ;Technologue;lover;education;green;Guide;George Orwell;rafting;Californias;11;17;16;14;9;11;10;19;3;14;12;9;f;Atheism;Deep countryside;vegetarian;LR;2;19;Crêpes
75;f;1998;YES;Catholicism;Big City;everythings;MoDem;4;gift giving;lent;confort;Ingenieur informatique;need;serve;bald;Horror;Georges Simenon;museum;Tiramisu;18;1;3;18;13;15;11;2;3;2;15;13;m;Catholicism;Big City;everythings;MoDem;4;17;emile Zola
76;m;1957;NO;Anglicanism;Deep countryside;vegetarian;SIEL;8;acts of service;normal;amour;Anesthesiste;need;nouvelles technologies;bald;Horror;Guy de Maupassant;biking;Sashimis;13;20;10;0;1;2;9;2;15;14;9;7;m;Anglicanism;Deep countryside;vegetarian;SIEL;8;19;Escargots
77;m;1982;YES;Deism;Capital;insects;RUMP;5;gift giving;dynamique;DIY;Travailleur social;lover;voyages;green;Diaries;Marguerite Duras;surfing;Fondue Savoyarde;5;14;20;6;0;15;5;7;3;1;7;13;m;Deism;Capital;insects;RUMP;5;13;lover
78;f;2002;YES;Deism;Deep countryside;normal;PG;8;physical touch;dynamique;DIY;hotelier;lover;enseignement;green;Religion;Rene Barjavel;diving;Fondue Savoyarde;0;3;17;19;12;6;1;7;12;12;7;6;f;Deism;Deep countryside;normal;PG;8;14;jeux video
79;f;1977;NO;Atheism;Capital;no milky food;EELV;4;gift giving;ultra dynamique;DIY;Anesthesiste;need;droit;green;Travel;Franz Kafka;nothing;Steak-frites;18;18;14;15;9;3;9;1;2;5;19;6;m;Atheism;Capital;no milky food;EELV;4;16;Journals
80;f;1971;YES;Buddhism;Big City;no alcool;EELV;8;gift giving;lent;famille;tourneur;romance;art contemporain;brown;History;Françoise Sagan;pilgrimmage;Tarte aux pommes;9;9;6;7;18;17;19;16;18;0;1;8;f;Buddhism;Big City;no alcool;EELV;8;11;ecologie
81;f;1999;YES;Atheism;town near big cities;no gluten;FN;6;gift giving;ultra dynamique;amour;politicien;romance;survie;blond;Satire;George Orwell;camping;Carbonnade Flamande;19;13;9;11;8;11;11;17;13;1;17;2;f;Atheism;town near big cities;no gluten;FN;6;18;hiking
82;m;1950;NO;Buddhism;Deep countryside;no alcool;UDI;2;words of affirmation;lent;travail;Acteur;family;social;bald;Drama;Romain Gary;countryside break;bœuf bourguignon;2;1;14;10;7;8;10;20;12;13;0;11;m;Buddhism;Deep countryside;no alcool;UDI;2;11;argent 
83;f;1968;YES;Deism;Big City;everythings;PRG;8;acts of service;lent;ecologie;Biologiste;need;photo;brun;Children's;Jean Giono;camping;Sashimis;6;19;0;20;9;20;3;19;15;12;5;9;m;Deism;Big City;everythings;PRG;8;10;lent
84;m;1995;YES;Catholicism;Big City;vegetarian;SIEL;5;gift giving;lent;famille;militaire;romance;social;yellow;Science;Victor Hugo;nothing;Moules-frites;20;18;4;7;20;3;7;9;16;20;14;15;m;Catholicism;Big City;vegetarian;SIEL;5;17;Antoine de Saint-Exupery
85;m;1968;NO;Orthodox;Big City;normal;EELV;6;gift giving;dynamique;amour;Ingenieur civil;need;sculpture;brown;Encyclopedias;Primo Levi;climbing;Blanquette;18;15;2;10;0;0;1;19;16;10;5;7;f;Orthodox;Big City;normal;EELV;6;9;words of affirmation
86;m;1977;YES;Buddhism;town near big cities;everythings;PS;5;acts of service;lent;plaisir;restaurateur;need;philosophie;green;Horror;Voltaire;rafting;Poulets en sauces;9;12;5;17;12;14;20;7;2;12;17;14;m;Buddhism;town near big cities;everythings;PS;5;15;blond
87;m;2001;YES;Hinduism;town near big cities;everythings;LR;6;physical touch;ultra dynamique;confort;developeur;lover;droit;bald;Guide;Prosper Merimee;surfing;Foie Gras;2;10;0;12;19;4;6;19;16;0;18;7;m;Hinduism;town near big cities;everythings;LR;6;19;Escargots
88;m;1996;YES;Deism;countryside near big cities;normal;PG;2;physical touch;normal;confort;Enseignant;romance;finance;bald;Science;Marguerite Duras;hiking;Ratatouille;2;9;11;11;17;1;4;14;5;6;15;15;f;Deism;countryside near big cities;normal;PG;2;19;Hachis Parmentier
89;m;2006;YES;Atheism;Capital;vegan;LR;3;physical touch;dynamique;ecologie;Physiotherapeute;lover;peinture;yellow;Encyclopedias;Antoine de Saint-Exupery;canyoning;Steak-frites;0;15;0;8;11;10;9;1;6;4;12;2;f;Atheism;Capital;vegan;LR;3;12;militaire
90;f;1998;NO;Islam;town near big cities;no milky food;LR;3;physical touch;normal;politique;tourneur;lover;social;green;Poetry;Jane Austen;museum;Crêpes;11;8;9;14;17;19;8;6;0;8;2;13;f;Islam;town near big cities;no milky food;LR;3;12;Actuaire
91;m;1977;YES;Deism;town near big cities;vegetarian;PG;2;physical touch;normal;DIY;Psychologue;romance;peinture;brun;Autobiographies;Moliere;ramble in villages;Souffle au fromage;13;5;14;20;0;4;1;19;19;9;16;20;f;Deism;town near big cities;vegetarian;PG;2;13;romance
92;f;1982;YES;Judaism;Deep countryside;no alcool;FN;8;acts of service;dynamique;plaisir;Technologue;family;peinture;green;Art;Pierre de Marivaux;climbing;Tiramisu;20;6;8;14;1;15;3;16;11;18;5;5;m;Judaism;Deep countryside;no alcool;FN;8;18;climbing
93;m;1990;NO;Catholicism;town near big cities;vegan;PG;5;gift giving;normal;argent ;juriste;lover;sciences;bald;Science;Jack London;camping;Escargots;20;19;15;6;18;10;14;9;12;1;15;2;m;Catholicism;town near big cities;vegan;PG;5;9;acts of service
94;f;1958;YES;Atheism;countryside near big cities;no gluten;UDI;1;acts of service;dynamique;famille;restaurateur;need;nouvelles technologies;brown;Horror;Agatha Christie;climbing;Yakitoris;9;7;20;10;13;9;9;18;20;14;17;4;m;Atheism;countryside near big cities;no gluten;UDI;1;13;lover
95;m;1959;NO;Buddhism;town near big cities;no gluten;FN;8;gift giving;ultra dynamique;patrie;consultant;romance;sciences;red;Math;Marcel Proust;skiing;Hachis Parmentier;13;11;0;5;13;1;11;6;19;14;2;10;f;Buddhism;town near big cities;no gluten;FN;8;12;juriste
96;m;1981;NO;Anglicanism;Deep countryside;no gluten;UDI;8;words of affirmation;lent;patrie;Pilote;need;education;blond;Diaries;Albert Camus;surfing;La quiche Lorraine;17;6;17;2;18;3;5;18;1;9;16;8;m;Anglicanism;Deep countryside;no gluten;UDI;8;15;bald
97;f;2004;NO;Judaism;Capital;insects;PRG;5;acts of service;ultra dynamique;politique;Journaliste;romance;voyages;red;Autobiographies;Isaac Asimov;surfing;Fondant au chocolat;2;6;19;20;10;9;6;16;3;11;5;3;f;Judaism;Capital;insects;PRG;5;11;politique
98;f;1961;YES;Buddhism;countryside near big cities;insects;FN;7;physical touch;lent;DIY;juriste;family;jeux video;Auburn;Romance;Primo Levi;canyoning;Couscous;4;19;17;1;14;8;10;18;4;20;2;14;m;Neopaganism;countryside near big cities;insects;FN;7;16;Horror
99;f;1950;YES;Catholicism;countryside near big cities;vegetarian;FN;2;gift giving;ultra dynamique;activité;Comptable;family;philosophie;Auburn;Anthology;Marguerite Duras;biking;Escargots;6;13;7;0;14;6;13;13;11;20;17;11;m;Catholicism;countryside near big cities;vegetarian;FN;2;14;survie
